Description,Full Address,Value,Type,Base,Offset
P2_B_FlyingScreen,2C269661,0,Byte,2C26942C,235
P2_C_FlyingScreen,2C26A1A9,0,Byte,2C269F74,235
FSI_Combo,,,,,
P1_A_FSI_Combo,2C2685A0,0,Byte,2C268340,260
P1_B_FSI_Combo,2C2690E8,9,Byte,2C268E88,260
P1_C_FSI_Combo,2C269C30,2,Byte,2C2699D0,260
P2_A_FSI_Combo,2C268B44,0,Byte,2C2688E4,260
P2_B_FSI_Combo,2C26968C,0,Byte,2C26942C,260
P2_C_FSI_Combo,2C26A1D4,2,Byte,2C269F74,260
FSI_Points,,,,,
P1_A_FSI_Points,2C2685B3,0,Byte,2C268340,273
P1_B_FSI_Points,2C2690FB,0,Byte,2C268E88,273
P1_C_FSI_Points,2C269C43,7,Byte,2C2699D0,273
P2_A_FSI_Points,2C268B57,0,Byte,2C2688E4,273
P2_B_FSI_Points,2C26969F,0,Byte,2C26942C,273
P2_C_FSI_Points,2C26A1E7,0,Byte,2C269F74,273
FSI_Projectile,,,,,
P1_A_FSI_Projectile,2C2685B6,0,Byte,2C268340,276
P1_B_FSI_Projectile,2C2690FE,0,Byte,2C268E88,276
P1_C_FSI_Projectile,2C269C46,7,Byte,2C2699D0,276
P2_A_FSI_Projectile,2C268B5A,0,Byte,2C2688E4,276
P2_B_FSI_Projectile,2C2696A2,0,Byte,2C26942C,276
P2_C_FSI_Projectile,2C26A1EA,0,Byte,2C269F74,276
Guardbreak_Flag,,,,,
P1_A_Guardbreak_Flag,2C268550,0,Byte,2C268340,210
P1_B_Guardbreak_Flag,2C269098,0,Byte,2C268E88,210
P1_C_Guardbreak_Flag,2C269BE0,0,Byte,2C2699D0,210
P2_A_Guardbreak_Flag,2C268AF4,0,Byte,2C2688E4,210
P2_B_Guardbreak_Flag,2C26963C,0,Byte,2C26942C,210
P2_C_Guardbreak_Flag,2C26A184,0,Byte,2C269F74,210
Health_Big,,,,,
P1_A_Health_Big,2C268760,144,Byte,2C268340,420
P1_B_Health_Big,2C2692A8,144,Byte,2C268E88,420
P1_C_Health_Big,2C269DF0,144,Byte,2C2699D0,420
P2_A_Health_Big,2C268D04,144,Byte,2C2688E4,420
P2_B_Health_Big,2C26984C,144,Byte,2C26942C,420
P2_C_Health_Big,2C26A394,144,Byte,2C269F74,420
Health_Small,,,,,
P1_A_Health_Small,2C268764,144,Byte,2C268340,424
P1_B_Health_Small,2C2692AC,144,Byte,2C268E88,424
P1_C_Health_Small,2C269DF4,144,Byte,2C2699D0,424
P2_A_Health_Small,2C268D08,144,Byte,2C2688E4,424
P2_B_Health_Small,2C269850,144,Byte,2C26942C,424
P2_C_Health_Small,2C26A398,144,Byte,2C269F74,424
Hitstop2,,,,,
